date,city,death,pm10,tempF,o3,dow,season
1987-01-01,balt,24,-13.12751678,33.5,NA,Thursday,Winter
1987-01-02,balt,24,NA,37.0,NA,Friday,Winter
1987-01-03,balt,20,-28.12751678,36.0,NA,Saturday,Winter
1987-01-04,balt,26,NA,32.0,NA,Sunday,Winter
1987-01-05,balt,23,NA,33.5,NA,Monday,Winter
1987-01-06,balt,23,NA,32.5,NA,Tuesday,Winter
1987-01-07,balt,21,14.872483221,42.5,NA,Wednesday,Winter
1987-01-08,balt,28,NA,36.0,NA,Thursday,Winter
1987-01-09,balt,20,-8.304347826,38.0,NA,Friday,Winter
1987-01-10,balt,26,NA,37.5,NA,Saturday,Winter
1987-01-11,balt,25,-12.12751678,37.5,NA,Sunday,Winter
1987-01-12,balt,17,NA,37.0,NA,Monday,Winter
1987-01-13,balt,22,-14.12751678,40.0,NA,Tuesday,Winter
1987-01-14,balt,22,NA,42.5,NA,Wednesday,Winter
1987-01-15,balt,20,-4.5,54.0,NA,Thursday,Winter
1987-01-16,balt,20,NA,45.0,NA,Friday,Winter
1987-01-17,balt,23,-20.12751678,31.0,NA,Saturday,Winter
1987-01-18,balt,25,NA,33.0,NA,Sunday,Winter
1987-01-19,balt,12,-16.12751678,35.5,NA,Monday,Winter
1987-01-20,balt,23,NA,37.0,NA,Tuesday,Winter
1987-01-21,balt,23,-8.902173913,36.0,NA,Wednesday,Winter
1987-01-22,balt,31,NA,29.0,NA,Thursday,Winter
1987-01-23,balt,17,NA,21.5,NA,Friday,Winter
1987-01-24,balt,26,NA,14.0,NA,Saturday,Winter
1987-01-25,balt,20,NA,10.5,NA,Sunday,Winter
1987-01-26,balt,24,NA,21.5,NA,Monday,Winter
1987-01-27,balt,26,NA,15.5,NA,Tuesday,Winter
1987-01-28,balt,23,NA,15.0,NA,Wednesday,Winter
1987-01-29,balt,26,8.8724832215,28.5,NA,Thursday,Winter
1987-01-30,balt,29,NA,33.0,NA,Friday,Winter
1987-01-31,balt,18,-31.12751678,35.5,NA,Saturday,Winter
1987-02-01,balt,24,NA,30.0,NA,Sunday,Winter
1987-02-02,balt,25,19.872483221,42.5,NA,Monday,Winter
1987-02-03,balt,17,NA,42.0,NA,Tuesday,Winter
1987-02-04,balt,19,-22.12751678,38.5,NA,Wednesday,Winter
1987-02-05,balt,28,NA,33.0,NA,Thursday,Winter
1987-02-06,balt,24,94.872483221,37.0,NA,Friday,Winter
1987-02-07,balt,15,NA,38.5,NA,Saturday,Winter
1987-02-08,balt,26,-3.5,38.5,NA,Sunday,Winter
1987-02-09,balt,29,NA,30.0,NA,Monday,Winter
1987-02-10,balt,18,NA,32.5,NA,Tuesday,Winter
1987-02-11,balt,17,NA,35.0,NA,Wednesday,Winter
1987-02-12,balt,21,19.872483221,33.0,NA,Thursday,Winter
1987-02-13,balt,31,NA,37.5,NA,Friday,Winter
1987-02-14,balt,13,-7.127516779,29.0,NA,Saturday,Winter
1987-02-15,balt,17,NA,23.5,NA,Sunday,Winter
1987-02-16,balt,22,-14.12751678,21.5,NA,Monday,Winter
1987-02-17,balt,24,NA,34.0,NA,Tuesday,Winter
1987-02-18,balt,23,NA,36.0,NA,Wednesday,Winter
1987-02-19,balt,21,NA,34.0,NA,Thursday,Winter
1987-02-20,balt,16,-10.90217391,33.0,NA,Friday,Winter
1987-02-21,balt,26,NA,38.0,NA,Saturday,Winter
1987-02-22,balt,11,13.872483221,34.5,NA,Sunday,Winter
1987-02-23,balt,22,NA,38.5,NA,Monday,Winter
1987-02-24,balt,21,NA,38.0,NA,Tuesday,Winter
1987-02-25,balt,13,NA,36.5,NA,Wednesday,Winter
1987-02-26,balt,27,-9.5,34.0,NA,Thursday,Winter
1987-02-27,balt,18,NA,34.0,NA,Friday,Winter
1987-02-28,balt,21,-13.12751678,35.0,NA,Saturday,Winter
1987-03-01,balt,19,NA,56.0,NA,Sunday,Winter
1987-03-02,balt,32,-20.12751678,46.5,NA,Monday,Winter
1987-03-03,balt,31,NA,44.5,NA,Tuesday,Winter
1987-03-04,balt,22,-25.12751678,32.5,NA,Wednesday,Winter
1987-03-05,balt,12,NA,34.0,NA,Thursday,Winter
1987-03-06,balt,27,29.872483221,40.0,NA,Friday,Winter
1987-03-07,balt,19,NA,55.0,NA,Saturday,Winter
1987-03-08,balt,27,27.872483221,58.5,NA,Sunday,Winter
1987-03-09,balt,18,NA,49.0,NA,Monday,Winter
1987-03-10,balt,18,-13.12751678,29.0,NA,Tuesday,Winter
1987-03-11,balt,10,NA,28.0,NA,Wednesday,Winter
1987-03-12,balt,25,-9.127516779,38.5,NA,Thursday,Winter
1987-03-13,balt,27,NA,38.5,NA,Friday,Winter
1987-03-14,balt,32,-9.127516779,38.5,NA,Saturday,Winter
1987-03-15,balt,19,NA,38.0,NA,Sunday,Winter
1987-03-16,balt,19,9.8724832215,41.5,NA,Monday,Winter
1987-03-17,balt,19,NA,41.0,NA,Tuesday,Winter
1987-03-18,balt,9,5.8724832215,45.5,NA,Wednesday,Winter
1987-03-19,balt,16,NA,46.5,NA,Thursday,Winter
1987-03-20,balt,20,-35.12751678,46.0,NA,Friday,Winter
1987-03-21,balt,19,NA,46.5,NA,Saturday,Winter
1987-03-22,balt,23,-31.90217391,52.0,NA,Sunday,Winter
1987-03-23,balt,34,NA,51.5,NA,Monday,Winter
1987-03-24,balt,19,NA,53.5,NA,Tuesday,Winter
1987-03-25,balt,17,NA,51.0,NA,Wednesday,Winter
1987-03-26,balt,23,-29.12751678,55.5,NA,Thursday,Winter
1987-03-27,balt,21,NA,58.5,NA,Friday,Winter
1987-03-28,balt,23,-1.902173913,61.0,NA,Saturday,Winter
1987-03-29,balt,16,NA,58.0,NA,Sunday,Winter
1987-03-30,balt,27,-8.127516779,55.5,NA,Monday,Winter
1987-03-31,balt,25,NA,47.5,NA,Tuesday,Winter
1987-04-01,balt,22,NA,37.0,NA,Wednesday,Spring
1987-04-02,balt,27,NA,49.5,NA,Thursday,Spring
1987-04-03,balt,15,-3.5,44.0,NA,Friday,Spring
1987-04-04,balt,26,NA,49.5,NA,Saturday,Spring
1987-04-05,balt,19,-24.12751678,37.5,NA,Sunday,Spring
1987-04-06,balt,21,NA,39.5,NA,Monday,Spring
1987-04-07,balt,21,NA,48.0,NA,Tuesday,Spring
1987-04-08,balt,17,NA,54.0,NA,Wednesday,Spring
1987-04-09,balt,16,-18.12751678,52.5,NA,Thursday,Spring
1987-04-10,balt,19,NA,55.5,NA,Friday,Spring
1987-04-11,balt,24,32.872483221,59.0,NA,Saturday,Spring
1987-04-12,balt,24,NA,54.5,NA,Sunday,Spring
1987-04-13,balt,18,-6.127516779,55.0,NA,Monday,Spring
1987-04-14,balt,18,NA,51.5,NA,Tuesday,Spring
1987-04-15,balt,11,-3.5,52.5,NA,Wednesday,Spring
1987-04-16,balt,21,NA,48.5,NA,Thursday,Spring
1987-04-17,balt,11,-18.12751678,54.5,NA,Friday,Spring
1987-04-18,balt,15,NA,60.0,NA,Saturday,Spring
1987-04-19,balt,17,2.8724832215,64.0,NA,Sunday,Spring
1987-04-20,balt,20,NA,65.5,NA,Monday,Spring
1987-04-21,balt,21,0.8724832215,70.0,NA,Tuesday,Spring
1987-04-22,balt,17,NA,66.0,NA,Wednesday,Spring
1987-04-23,balt,14,NA,52.5,NA,Thursday,Spring
1987-04-24,balt,20,NA,57.0,NA,Friday,Spring
1987-04-25,balt,21,-27.12751678,49.0,NA,Saturday,Spring
1987-04-26,balt,22,NA,51.0,NA,Sunday,Spring
1987-04-27,balt,13,-8.127516779,49.0,NA,Monday,Spring
1987-04-28,balt,23,NA,51.5,NA,Tuesday,Spring
1987-04-29,balt,16,-1.127516779,56.0,NA,Wednesday,Spring
1987-04-30,balt,18,NA,58.0,NA,Thursday,Spring
1987-05-01,balt,22,11.872483221,56.5,NA,Friday,Spring
1987-05-02,balt,20,NA,57.5,NA,Saturday,Spring
1987-05-03,balt,34,1.5,62.5,NA,Sunday,Spring
1987-05-04,balt,22,NA,48.5,NA,Monday,Spring
1987-05-05,balt,26,-8.127516779,51.5,NA,Tuesday,Spring
1987-05-06,balt,28,NA,58.5,NA,Wednesday,Spring
1987-05-07,balt,18,12.872483221,64.0,NA,Thursday,Spring
1987-05-08,balt,19,NA,60.5,NA,Friday,Spring
1987-05-09,balt,18,-8.5,61.5,NA,Saturday,Spring
1987-05-10,balt,17,NA,69.5,NA,Sunday,Spring
1987-05-11,balt,23,42.872483221,73.0,NA,Monday,Spring
1987-05-12,balt,22,NA,77.0,NA,Tuesday,Spring
1987-05-13,balt,22,-15.12751678,61.0,NA,Wednesday,Spring
1987-05-14,balt,18,NA,58.5,NA,Thursday,Spring
1987-05-15,balt,19,-2.304347826,68.5,NA,Friday,Spring
1987-05-16,balt,19,NA,60.5,NA,Saturday,Spring
1987-05-17,balt,26,-2.127516779,68.0,NA,Sunday,Spring
1987-05-18,balt,14,NA,75.5,NA,Monday,Spring
1987-05-19,balt,26,-20.12751678,59.0,NA,Tuesday,Spring
1987-05-20,balt,29,NA,51.5,NA,Wednesday,Spring
1987-05-21,balt,14,-16.30434783,64.0,NA,Thursday,Spring
1987-05-22,balt,17,NA,68.5,NA,Friday,Spring
1987-05-23,balt,23,-16.12751678,74.0,NA,Saturday,Spring
1987-05-24,balt,22,NA,70.5,NA,Sunday,Spring
1987-05-25,balt,23,-22.12751678,61.5,NA,Monday,Spring
1987-05-26,balt,20,NA,61.0,NA,Tuesday,Spring
1987-05-27,balt,16,-16.12751678,63.5,NA,Wednesday,Spring
1987-05-28,balt,16,NA,71.5,NA,Thursday,Spring
1987-05-29,balt,24,34.872483221,79.0,NA,Friday,Spring
1987-05-30,balt,20,NA,81.0,NA,Saturday,Spring
1987-05-31,balt,26,21.872483221,78.5,NA,Sunday,Spring
1987-06-01,balt,26,NA,80.5,NA,Monday,Spring
1987-06-02,balt,14,13.5,77.5,NA,Tuesday,Spring
1987-06-03,balt,20,NA,72.5,NA,Wednesday,Spring
1987-06-04,balt,18,-1.127516779,68.5,NA,Thursday,Spring
1987-06-05,balt,17,NA,69.5,NA,Friday,Spring
1987-06-06,balt,22,9.8724832215,68.5,NA,Saturday,Spring
1987-06-07,balt,18,NA,72.0,NA,Sunday,Spring
1987-06-08,balt,17,18.5,78.5,NA,Monday,Spring
1987-06-09,balt,16,NA,73.5,NA,Tuesday,Spring
1987-06-10,balt,27,NA,64.5,NA,Wednesday,Spring
1987-06-11,balt,16,NA,65.0,NA,Thursday,Spring
1987-06-12,balt,21,-1.127516779,71.5,NA,Friday,Spring
1987-06-13,balt,24,NA,76.5,NA,Saturday,Spring
1987-06-14,balt,23,3.6956521739,74.5,NA,Sunday,Spring
1987-06-15,balt,20,NA,83.0,NA,Monday,Spring
1987-06-16,balt,29,-9.127516779,78.0,NA,Tuesday,Spring
1987-06-17,balt,18,NA,75.5,NA,Wednesday,Spring
1987-06-18,balt,20,-1.127516779,72.5,NA,Thursday,Spring
1987-06-19,balt,23,NA,76.5,NA,Friday,Spring
1987-06-20,balt,23,15.5,80.0,NA,Saturday,Spring
1987-06-21,balt,20,NA,78.0,NA,Sunday,Spring
1987-06-22,balt,26,-3.127516779,81.5,NA,Monday,Spring
1987-06-23,balt,16,NA,81.0,NA,Tuesday,Spring
1987-06-24,balt,21,26.872483221,74.0,NA,Wednesday,Spring
1987-06-25,balt,24,NA,75.5,NA,Thursday,Spring
1987-06-26,balt,15,-1.813758389,72.5,NA,Friday,Spring
1987-06-27,balt,16,NA,76.0,NA,Saturday,Spring
1987-06-28,balt,28,-11.12751678,68.0,NA,Sunday,Spring
1987-06-29,balt,25,NA,73.5,NA,Monday,Spring
1987-06-30,balt,15,6.8724832215,82.0,NA,Tuesday,Spring
1987-07-01,balt,17,NA,77.5,16.9616125,Wednesday,Summer
1987-07-02,balt,23,-8.715932302,80.0,2.7804530798,Thursday,Summer
1987-07-03,balt,24,NA,80.0,16.3366125,Friday,Summer
1987-07-04,balt,20,6.1,79.5,15.628279167,Saturday,Summer
1987-07-05,balt,28,NA,78.0,21.003279167,Sunday,Summer
1987-07-06,balt,23,-17.08724832,75.0,7.1282791667,Monday,Summer
1987-07-07,balt,18,NA,76.5,5.0866125001,Tuesday,Summer
1987-07-08,balt,17,26.850225989,84.0,-6.371720833,Wednesday,Summer
1987-07-09,balt,23,NA,85.0,NA,Thursday,Summer
1987-07-10,balt,27,24.266666667,83.0,NA,Friday,Summer
1987-07-11,balt,27,NA,83.0,NA,Saturday,Summer
1987-07-12,balt,29,26.133333333,83.0,NA,Sunday,Summer
1987-07-13,balt,15,NA,79.5,NA,Monday,Summer
1987-07-14,balt,22,2.3191489362,77.0,NA,Tuesday,Summer
1987-07-15,balt,26,NA,68.0,NA,Wednesday,Summer
1987-07-16,balt,22,5.6266666667,70.5,NA,Thursday,Summer
1987-07-17,balt,23,NA,70.5,NA,Friday,Summer
1987-07-18,balt,22,7.58,75.5,NA,Saturday,Summer
1987-07-19,balt,23,NA,80.0,NA,Sunday,Summer
1987-07-20,balt,20,47.966101695,84.0,NA,Monday,Summer
1987-07-21,balt,26,NA,87.0,NA,Tuesday,Summer
1987-07-22,balt,27,8.4564367816,86.0,NA,Wednesday,Summer
1987-07-23,balt,30,NA,83.5,NA,Thursday,Summer
1987-07-24,balt,37,36.456953642,84.5,NA,Friday,Summer
1987-07-25,balt,37,NA,84.5,NA,Saturday,Summer
1987-07-26,balt,25,29.767679719,84.5,NA,Sunday,Summer
1987-07-27,balt,29,NA,80.5,NA,Monday,Summer
1987-07-28,balt,20,-22.36601307,78.0,NA,Tuesday,Summer
1987-07-29,balt,15,NA,76.0,NA,Wednesday,Summer
1987-07-30,balt,23,10.627519033,81.0,NA,Thursday,Summer
1987-07-31,balt,16,NA,81.0,NA,Friday,Summer
1987-08-01,balt,21,13.551948052,79.0,NA,Saturday,Summer
1987-08-02,balt,20,NA,79.0,NA,Sunday,Summer
1987-08-03,balt,21,14.586206897,85.0,NA,Monday,Summer
1987-08-04,balt,22,NA,86.5,NA,Tuesday,Summer
1987-08-05,balt,15,31.792207792,83.5,NA,Wednesday,Summer
1987-08-06,balt,24,NA,74.5,NA,Thursday,Summer
1987-08-07,balt,21,6.25,74.5,NA,Friday,Summer
1987-08-08,balt,16,NA,82.0,NA,Saturday,Summer
1987-08-09,balt,16,19.405228758,83.5,NA,Sunday,Summer
1987-08-10,balt,17,NA,80.0,NA,Monday,Summer
1987-08-11,balt,15,-8.517354068,75.0,NA,Tuesday,Summer
1987-08-12,balt,20,NA,74.5,NA,Wednesday,Summer
1987-08-13,balt,18,-4.680851064,72.0,NA,Thursday,Summer
1987-08-14,balt,19,NA,71.0,11.228279167,Friday,Summer
1987-08-15,balt,24,-17.33351993,79.5,14.7116125,Saturday,Summer
1987-08-16,balt,16,NA,78.5,8.5866125001,Sunday,Summer
1987-08-17,balt,24,18.746753247,83.5,23.128279167,Monday,Summer
1987-08-18,balt,13,NA,85.5,26.294945833,Tuesday,Summer
1987-08-19,balt,20,13.134770115,77.5,4.7532791667,Wednesday,Summer
1987-08-20,balt,22,NA,78.0,11.537370076,Thursday,Summer
1987-08-21,balt,27,0.4580645161,73.0,8.0866125001,Friday,Summer
1987-08-22,balt,16,NA,73.0,6.9616125001,Saturday,Summer
1987-08-23,balt,20,-31.32692308,71.0,7.9616125001,Sunday,Summer
1987-08-24,balt,25,NA,64.5,-1.9133875,Monday,Summer
1987-08-25,balt,17,-2.680851064,64.5,-9.089112138,Tuesday,Summer
1987-08-26,balt,16,NA,70.5,-6.1633875,Wednesday,Summer
1987-08-27,balt,24,21.910828025,80.5,16.8366125,Thursday,Summer
1987-08-28,balt,20,NA,73.5,-2.621720833,Friday,Summer
1987-08-29,balt,17,-17.22918955,71.5,9.0449458334,Saturday,Summer
1987-08-30,balt,19,NA,66.5,12.169945833,Sunday,Summer
1987-08-31,balt,16,-7.983333333,69.5,6.2587139493,Monday,Summer
1987-09-01,balt,20,NA,68.0,6.7532791667,Tuesday,Summer
1987-09-02,balt,16,1.5862068966,66.5,9.4616125001,Wednesday,Summer
1987-09-03,balt,17,NA,68.5,8.7949458334,Thursday,Summer
1987-09-04,balt,18,-14.86624204,66.5,13.544945833,Friday,Summer
1987-09-05,balt,11,NA,66.0,3.6282791667,Saturday,Summer
1987-09-06,balt,17,-18.55689655,67.5,-7.0383875,Sunday,Summer
1987-09-07,balt,24,NA,77.0,-9.580054167,Monday,Summer
1987-09-08,balt,24,-28.515923570000002,72.5,-18.43693822,Tuesday,Summer
1987-09-09,balt,18,NA,76.5,-14.32626629,Wednesday,Summer
1987-09-10,balt,15,62.535031847,75.0,NA,Thursday,Summer
1987-09-11,balt,18,NA,74.5,NA,Friday,Summer
1987-09-12,balt,23,-17.68085106,75.5,NA,Saturday,Summer
1987-09-13,balt,19,NA,76.0,NA,Sunday,Summer
1987-09-14,balt,28,18.586206897,75.5,NA,Monday,Summer
1987-09-15,balt,20,NA,74.0,27.428279167,Tuesday,Summer
1987-09-16,balt,18,22.585987261,74.0,17.753279167,Wednesday,Summer
1987-09-17,balt,15,NA,74.0,2.6520886905,Thursday,Summer
1987-09-18,balt,23,-13.68085106,74.5,2.4199458334,Friday,Summer
1987-09-19,balt,22,NA,62.5,-15.12172083,Saturday,Summer
1987-09-20,balt,18,-15.92027235,62.0,-14.45505417,Sunday,Summer
1987-09-21,balt,24,NA,68.0,-1.7883875,Monday,Summer
1987-09-22,balt,27,-3.424050633,67.0,-5.205054167,Tuesday,Summer
1987-09-23,balt,23,NA,62.5,-2.246720833,Wednesday,Summer
1987-09-24,balt,18,0.6,64.5,5.1282791667,Thursday,Summer
1987-09-25,balt,18,NA,60.5,-1.0383875,Friday,Summer
1987-09-26,balt,21,-12.48427673,60.5,-2.080054167,Saturday,Summer
1987-09-27,balt,16,NA,67.5,3.7116125001,Sunday,Summer
1987-09-28,balt,16,19.102478448,68.5,9.0449458334,Monday,Summer
1987-09-29,balt,13,NA,68.5,7.6500182972,Tuesday,Summer
1987-09-30,balt,19,-8.46875,65.5,-3.496720833,Wednesday,Summer
1987-10-01,balt,17,NA,56.0,-5.871720833,Thursday,Autumn
1987-10-02,balt,30,-1.409937888,58.0,-4.9133875,Friday,Autumn
1987-10-03,balt,20,NA,53.0,-8.746720833,Saturday,Autumn
1987-10-04,balt,26,-33.378881989999996,49.0,1.4616125001,Sunday,Autumn
1987-10-05,balt,20,NA,53.5,-8.121720833,Monday,Autumn
1987-10-06,balt,14,-1.525,58.0,-1.955054167,Tuesday,Autumn
1987-10-07,balt,27,NA,56.5,-6.610851268,Wednesday,Autumn
1987-10-08,balt,20,-12.34782609,49.5,-12.87172083,Thursday,Autumn
1987-10-09,balt,23,NA,48.0,-13.33005417,Friday,Autumn
1987-10-10,balt,8,-26.45625,57.5,-16.87172083,Saturday,Autumn
1987-10-11,balt,24,NA,55.5,-10.45505417,Sunday,Autumn
1987-10-12,balt,11,-12.44827586,48.5,-3.0383875,Monday,Autumn
1987-10-13,balt,15,NA,49.0,-2.996720833,Tuesday,Autumn
1987-10-14,balt,22,-9.06875,47.5,-5.436938225,Wednesday,Autumn
1987-10-15,balt,26,NA,51.5,-8.955054167,Thursday,Autumn
1987-10-16,balt,18,34.0,56.0,-6.705054167,Friday,Autumn
1987-10-17,balt,17,NA,56.5,-1.496720833,Saturday,Autumn
1987-10-18,balt,22,-10.60358343,56.0,-4.455054167,Sunday,Autumn
1987-10-19,balt,27,NA,55.0,-10.83005417,Monday,Autumn
1987-10-20,balt,23,17.0625,58.0,0.1282791667,Tuesday,Autumn
1987-10-21,balt,31,NA,48.5,-7.580054167,Wednesday,Autumn
1987-10-22,balt,18,NA,44.5,-9.580054167,Thursday,Autumn
1987-10-23,balt,25,NA,51.0,-12.99672083,Friday,Autumn
1987-10-24,balt,23,11.446428571,53.5,-2.371720833,Saturday,Autumn
1987-10-25,balt,17,NA,51.0,0.4616125001,Sunday,Autumn
1987-10-26,balt,22,NA,44.0,-9.205054167,Monday,Autumn
1987-10-27,balt,21,NA,41.5,-13.78476431,Tuesday,Autumn
1987-10-28,balt,22,-25.26086957,48.5,-7.915199094,Wednesday,Autumn
1987-10-29,balt,28,NA,44.0,-12.37172083,Thursday,Autumn
1987-10-30,balt,23,25.805029014,47.5,-14.12172083,Friday,Autumn
1987-10-31,balt,18,NA,56.0,-6.7883875,Saturday,Autumn
1987-11-01,balt,17,40.90625,52.0,-7.2883875,Sunday,Autumn
1987-11-02,balt,20,NA,55.0,-11.33005417,Monday,Autumn
1987-11-03,balt,16,NA,57.5,-13.9133875,Tuesday,Autumn
1987-11-04,balt,19,NA,63.5,-14.20505417,Wednesday,Autumn
1987-11-05,balt,22,20.679398148,57.0,-2.280811742,Thursday,Autumn
1987-11-06,balt,19,NA,41.5,0.1282791667,Friday,Autumn
1987-11-07,balt,20,54.2625,46.5,NA,Saturday,Autumn
1987-11-08,balt,24,NA,58.0,NA,Sunday,Autumn
1987-11-09,balt,20,22.59375,65.0,-16.20505417,Monday,Autumn
1987-11-10,balt,16,NA,46.5,-10.45505417,Tuesday,Autumn
1987-11-11,balt,31,-28.47152123,31.5,-6.5383875,Wednesday,Autumn
1987-11-12,balt,21,NA,34.0,-8.2883875,Thursday,Autumn
1987-11-13,balt,27,11.83125,41.5,-14.20505417,Friday,Autumn
1987-11-14,balt,21,NA,49.0,-10.74672083,Saturday,Autumn
1987-11-15,balt,20,0.91875,46.5,-12.58005417,Sunday,Autumn
1987-11-16,balt,24,NA,47.0,-15.65432953,Monday,Autumn
1987-11-17,balt,25,-7.005288462,58.5,-10.58005417,Tuesday,Autumn
1987-11-18,balt,21,NA,57.5,-8.205054167,Wednesday,Autumn
1987-11-19,balt,26,-5.075,45.5,-13.87172083,Thursday,Autumn
1987-11-20,balt,17,NA,41.0,-8.746720833,Friday,Autumn
1987-11-21,balt,13,-23.21875,28.5,6.3366125001,Saturday,Autumn
1987-11-22,balt,15,NA,28.5,-2.2883875,Sunday,Autumn
1987-11-23,balt,24,24.425735294,38.0,-15.4133875,Monday,Autumn
1987-11-24,balt,28,NA,56.0,-16.70505417,Tuesday,Autumn
1987-11-25,balt,24,24.7,54.0,-18.49672083,Wednesday,Autumn
1987-11-26,balt,22,NA,58.5,-13.7883875,Thursday,Autumn
1987-11-27,balt,19,-12.475,42.5,-15.68990265,Friday,Autumn
1987-11-28,balt,16,NA,42.5,-14.12172083,Saturday,Autumn
1987-11-29,balt,21,-26.5625,52.0,-9.121720833,Sunday,Autumn
1987-11-30,balt,21,NA,45.5,-13.74672083,Monday,Autumn
1987-12-01,balt,19,-7.41875,42.0,-16.1633875,Tuesday,Autumn
1987-12-02,balt,19,NA,37.5,-12.62172083,Wednesday,Autumn
1987-12-03,balt,18,13.86875,35.0,-17.04563388,Thursday,Autumn
1987-12-04,balt,23,NA,37.0,-16.9133875,Friday,Autumn
1987-12-05,balt,24,-28.38942369,37.0,-3.371720833,Saturday,Autumn
1987-12-06,balt,24,NA,38.0,0.4616125001,Sunday,Autumn
1987-12-07,balt,19,22.880503145,36.5,-11.99672083,Monday,Autumn
1987-12-08,balt,16,NA,40.0,-17.24672083,Tuesday,Autumn
1987-12-09,balt,24,NA,49.0,-17.2883875,Wednesday,Autumn
1987-12-10,balt,15,NA,51.5,-16.83005417,Thursday,Autumn
1987-12-11,balt,22,-2.291666667,46.5,-12.9133875,Friday,Autumn
1987-12-12,balt,24,NA,47.5,-11.83005417,Saturday,Autumn
1987-12-13,balt,21,78.069620253,41.0,-8.5383875,Sunday,Autumn
1987-12-14,balt,19,NA,40.0,-16.9133875,Monday,Autumn
1987-12-15,balt,19,NA,41.5,-18.7883875,Tuesday,Autumn
1987-12-16,balt,24,NA,37.5,NA,Wednesday,Autumn
1987-12-17,balt,18,-30.22313322,37.0,-3.471720833,Thursday,Autumn
1987-12-18,balt,21,NA,35.0,-5.5383875,Friday,Autumn
1987-12-19,balt,24,-5.382165605,37.0,-17.9133875,Saturday,Autumn
1987-12-20,balt,30,NA,48.0,-17.6633875,Sunday,Autumn
1987-12-21,balt,27,-20.42675159,44.5,-15.2883875,Monday,Autumn
1987-12-22,balt,17,NA,35.5,-17.70505417,Tuesday,Autumn
1987-12-23,balt,20,-0.893381335,41.0,-16.33005417,Wednesday,Autumn
1987-12-24,balt,22,NA,45.0,-17.33005417,Thursday,Autumn
1987-12-25,balt,27,NA,51.5,-18.70505417,Friday,Autumn
1987-12-26,balt,33,NA,48.5,-17.0383875,Saturday,Autumn
1987-12-27,balt,20,-20.62420382,38.5,-18.2883875,Sunday,Autumn
1987-12-28,balt,31,NA,37.0,-18.87172083,Monday,Autumn
1987-12-29,balt,29,-23.81259731,28.5,-12.87172083,Tuesday,Autumn
1987-12-30,balt,21,NA,25.5,-10.1633875,Wednesday,Autumn
1987-12-31,balt,23,NA,33.0,-19.24672083,Thursday,Autumn
1988-01-01,balt,17,NA,44.5,-15.40794704,Friday,Winter
1988-01-02,balt,21,-33.47770701,28.5,-11.50094599,Saturday,Winter
1988-01-03,balt,23,NA,24.0,-19.03451444,Sunday,Winter
1988-01-04,balt,14,-7.260869565,33.0,-16.4701205,Monday,Winter
1988-01-05,balt,21,NA,20.0,-12.12176627,Tuesday,Winter
1988-01-06,balt,25,-23.88535032,15.0,-14.68981747,Wednesday,Winter
1988-01-07,balt,16,NA,15.5,-17.14757722,Thursday,Winter
1988-01-08,balt,27,-13.82165605,22.0,-16.63573697,Friday,Winter
1988-01-09,balt,30,NA,22.0,-14.562235190000001,Saturday,Winter
1988-01-10,balt,27,14.804001662,21.5,-10.30751293,Sunday,Winter
1988-01-11,balt,16,NA,17.5,-17.56295554,Monday,Winter
1988-01-12,balt,19,77.955414013,22.5,-18.63940732,Tuesday,Winter
1988-01-13,balt,29,NA,34.5,-15.99064504,Wednesday,Winter
1988-01-14,balt,22,-28.33757962,16.5,-9.310586828,Thursday,Winter
1988-01-15,balt,32,NA,18.5,-18.1049989,Friday,Winter
1988-01-16,balt,26,25.1537068,24.5,-19.50953142,Saturday,Winter
1988-01-17,balt,14,NA,33.5,-19.65184149,Sunday,Winter
1988-01-18,balt,18,6.8333333333,41.0,-21.11057558,Monday,Winter
1988-01-19,balt,26,NA,36.5,-19.70553356,Tuesday,Winter
1988-01-20,balt,22,-5.166666667,41.5,-20.97752767,Wednesday,Winter
1988-01-21,balt,34,NA,46.0,NA,Thursday,Winter
1988-01-22,balt,21,-14.02996098,34.0,-17.00288073,Friday,Winter
1988-01-23,balt,27,NA,34.5,-15.65183565,Saturday,Winter
1988-01-24,balt,19,6.3717948718,37.5,-13.41130439,Sunday,Winter
1988-01-25,balt,24,NA,37.0,-19.14992392,Monday,Winter
1988-01-26,balt,24,-31.51923077,25.5,-7.685476418,Tuesday,Winter
1988-01-27,balt,13,NA,19.0,-14.07037668,Wednesday,Winter
1988-01-28,balt,22,1.9760683761,20.5,-15.94052882,Thursday,Winter
1988-01-29,balt,24,NA,23.0,-16.26778894,Friday,Winter
1988-01-30,balt,22,27.179487179,36.0,-18.2875956,Saturday,Winter
1988-01-31,balt,25,NA,49.5,-15.60454139,Sunday,Winter
1988-02-01,balt,27,-21.72903226,60.5,-18.45658729,Monday,Winter
1988-02-02,balt,27,NA,52.0,-15.79596434,Tuesday,Winter
1988-02-03,balt,15,-18.35340502,36.5,-10.72333631,Wednesday,Winter
1988-02-04,balt,20,NA,37.0,-11.95660239,Thursday,Winter
1988-02-05,balt,22,-20.51948052,28.5,-3.317255165,Friday,Winter
1988-02-06,balt,18,NA,18.0,1.7560034456,Saturday,Winter
1988-02-07,balt,28,NA,19.0,-7.221275612,Sunday,Winter
1988-02-08,balt,28,NA,32.0,-12.08033181,Monday,Winter
1988-02-09,balt,31,29.299283154,32.5,-17.71646723,Tuesday,Winter
